sentence,difficulty
"La politique vaccinale s'accompagne aussi de nombreux doutes quant aux effets secondaires, estimés comme étant très importants par certains chercheurs.",C1
"Le soir, je suis rentré vraiment fatigué mais heureux.",A2
Quarante carottes crues croient que croquer crée des crampes.,B2
"Sans cette pluie qui ne cesse de tomber, nous nous serions amusés.",B2
"A cause de la crise, l'entreprise doit licencier une centaine de salariés.",B1
"Vendus sous forme de petits formats noir et blanc, ses Jeux pour s'entraîner à raisonner ou ses Jeux de calcul mental trompent bien leur petit monde",C2
"Les expériences qui ont été faites démontrent donc chez l'enfant l'aptitude au mimétisme phonique mais aussi la capacité d'acquérir non seulement le vocabulaire et la syntaxe, mais aussi la prononciation",C2
La fête est arrivée au 19e siècle aux États-Unis et au Canada grâce aux nombreux émigrants venus d'Irlande et d'Écosse,B2
"Après avoir bu une tasse de thé dans un café, je rentre chez moi en bus",A2
Lucie a postulé pour travailler comme monitrice dans un camp de vacances international cet été,C1
L'histoire se passe en Asie.,A1
"A l'époque actuelle, le désir réside dans la consommation d'objets de plus en plus sophistiqués et qui reflètent la nouveauté",B2
"C'est devenu un rituel, désormais en vigueur dans de nombreuses familles, encore qu'en France le phénomène portable n'ait pas remporté auprès des adolescents le même succès que dans les pays scandinaves.",B2
"Excusez-moi, ça fait 30 minutes qu'on attend notre table.",A1
"Et puis, on revient en Europe maintenant avec la vague de chaleur qui touche le continent et qui n'épargne aucune partie de cette partie du monde même celle située la plus au nord en Scandinavie y compris, le thermomètre grimpe en flèche",B1
Notre jogging matinal est devenu une course d'obstacles où on évite tous les autres passants,B1
"Mais devenir l'ami d'une fille super, c'est difficile !",A2
"C'est un truisme de dire qu'une économie fonctionnant bien, hautement rationalisée et unifiée, exige un étalon d'échange stable.",C2
Je n'ai pas de voiture et je n'aime pas beaucoup prendre le métro,A1
"Les bateaux étaient serrés les uns contre les autres, et s'ils n'avaient pas été équipés de défenses, ni le leur ni ceux des voisins ne seraient restés intacts.",B2
Elle ne doit pas dégoûter les élèves.,B1
"On pensait qu'il était l'espion du marquis son père, et il fallait ménager ce despote sévère et toujours furieux depuis sa démission forcée.",C1
L'interdiction de la cigarette électronique serait désastreuse pour ces entreprises.,B2
"Quand on m'a proposé de jouer dans ce film, j'ai répondu oui tout de suite, j'ai dit que j'avais attendu cette occasion toute ma vie.",B1
Je répare votre voiture.,A1
"OK, pas de problème.",A1
Ta soeur est venue hier nous rendre visite.,A1
James a ensuite rejoint le quartier moderne de la Confluence où le fleuve de la Saône se jette dans le Rhône,B2
"Il fait trop chaud, j'ouvre la fenêtre.",A1
Le premier part à sept heures vingt cinq et le deuxième part à neuf heures et demie,A1
Le sénateur élu à la représentation proportionnelle dont le siège devient vacant pour toute autre cause que l'acceptation de fonctions gouvernementales est remplacé par le candidat figurant sur la même liste immédiatement après le dernier candidat devenu sénateur conformément à l'ordre de cette liste.,C1
Dommage ces fils et ces poteaux qui balafrent le décor,B2
La journée est longue pour David qui attend le samedi toute la semaine,A1
La plupart des spectateurs ont apprécié la pièce de théâtre.,B2
"""Les femmes sont en revanche surreprésentées en danse (62% de tous les pratiquants) et encore davantage en gymnastique (79%)"", note l'Insee.",B2
Les exportations de cacao ont doublé par rapport à l'année dernière.,B2
"Alors, je les ai remises et j'ai vu son sourire.",A2
"David, lui, va à l'école le mercredi matin.",A1
J'attends ta réponse,A1
"D'autres fois, lassé moi-même de mon silence, je me laissais aller à quelques plaisanteries, et mon esprit, mis en mouvement, m'entraînait audelà de toute mesure.",C2
"En faisant le choix de manger un fromage AOP, on fait plus que manger du fromage : on goûte aussi son terroir, on participe au maintien des paysages et des traditions du fromage concerné.",B1
"Oui, ça va, merci.",A1
"Tout le monde la regardait, parce que dans la classe on est ensemble depuis l'école primaire, alors, évidemment, l'arrivée d'un nouveau ou d'une nouvelle, c'est un événement.",A2
"Parfait, alors un plat du jour, s'il vous plaît.",A1
On ne peut pas vivre comme ça.,A2
"Si vous étiez arrivés à l'heure comme convenu, vous auriez vu le début du reportage auto-biographique sur l'auteur contemporain le plus convoité du moment.",B2
Mais le rocher était fermé.,B1
"Ashton lui lançait en notes graves des provocations homicides, Lucie poussait sa plainte aiguë, Arthur modulait à l'écart des sons moyens, et la basse-taille du ministre ronflait comme un orgue, tandis que les voix de femmes, répétant ses paroles, reprenaient en choeur, délicieusement.",C2
Un vrai débat de société s'est ouvert avec un avantage aux défenseurs du septième jour chômé.,C1
Il est impératif de tenir votre chien en laisse lorsque vous le promenez.,B1
"Aujourd'hui, Madagascar, c'est 700 personnes qui sortent des écoles en informatique.",B1
"Tout d'un coup, il proteste contre un monsieur bleu.",A2
Et une forêt bien aménagée pourra ultérieurement fournir une nouvelle récolte de bois.,B2
"Passez-les dans la farine, puis dans l'oeuf battu et enfin dans la chapelure.",B2
"Lorsque nous lûmes ce passage émouvant, nous rappelant les jours heureux passés, nous pleurâmes face à nos existances misérables et sans lendemain.",C2
"Le ""rebâchage"" envoie les données dans la première mémoire, tandis que plusieurs approches différentes d'un même sujet vont permettre de dégager du sens et d'envoyer les don- nées communes au coeur de la mémoire sémantique"", explique-t-il",C2
C'est l'école qui doit le trouver.,A1
Miam ! Tu dois avoir hâte de la revoir !,A2
La cuisine est la pièce préférée de ma maison,A2
"L'intensité carbone de la Suisse est certes modérée, grâce à une faible intensité énergétique et à une production d'électricité presque totalement décarbonée.",C1
Je crains que la table ne soit pas encore disponible.,A2
Je suis vraiment désolé : j'ai oublié d'acheter de la viande en rentrant !,A2
Mon chapeau s'est envolé quand je suis monté sur le voilier.,B1
"D'autres auteurs ont exploité ce terrain comme Erik Orsenna et ses Chevaliers du subjonctif, sorti à l'automne 2004.",C2
Elle a dansé toute la nuit.,A1
"Ça oui, j'attends les vacances d'été avec impatience !",A1
N'avait-elle pas promis que les politiques économiques menées en Europe apporteraient la prospérité et le plein-emploi ?,C1
Ils travaillent avec un nouveau directeur dont ils se plaignent beacoup.,B2
Donne-moi la serviette !,A1
La contrainte deviatorique est appliquee a des temps variant de 0 a 240 minutes apres la phase de consolidation sous la contrainte de confinement.,C1
Il fait toujours chaud,A1
"Certains, comme les Bédouins, sont des Blancs à la peau mate et tannée par le soleil.",B2
"Selon la légende, Thanksgiving, qui veut dire littéralement en anglais ""merci pour le don"", est née ce jour-là à l'aube du deuxième hiver en Amérique des colons du Mayflower en 1621",C1
"Au menu de ce midi, ce sont les restes du repas",A2
Le choix de l'hôtel dépend bien sûr de votre budget mais aussi de vos envies.,B1
"Dans cette véritable ""biographie de la langue française"", les auteurs veulent mettre les pendules à l'heure et malmener queslques fausses croyances",C2
Pourquoi as-tu quitté Limoges ?,A2
"À droite, l'artiste peint un arbre touffu, tout à la fois prometteur et inquiétant.",C1
Je garde la forme en aidant de temps en temps à la maison ou dans le jardin.,A2
"Les démocrates ""vont être de plus en plus en colère quand ils vont voir que le Sénat tue toutes leurs priorités"", prévoit Larry Sabato, politologue à l'université de Virginie.",B2
"Ce monde, absorbé dans ses frivolités solennelles, ne lira pas dans un coeur tel que le mien.",C2
"Sur les blogs, ça les a rendu fous.",B1
Quel âge ont-ils ?,A1
"Ainsi, les likes, tweets, partages et autres messages sont, pour elles, autant de signes de reconnaissance sociale et deviennent une véritable monnaie d'échange affectif.",C1
Toute formalité de modification nécessite la réalisation de démarches avant la réalisation du dossier ainsi que la préparation des pièces justificatives et des documents à joindre au dossier.,C1
"Pour moi l'école d'aujourd'hui elle ne marche pas parce que justement on tente de la faire reposer sur des histoires, enfin sur des valeurs comme vous dites, qui sont du passé.",B1
"Merci Gaio de suivre ces histoires, cela me fait très plaisir !",A2
"Depuis, la junte lui a désigné un remplaçant aux Nations Unies, tandis que Kyaw Moe Tun assure toujours représenter le pays, un imbroglio juridique qui devra être tranché par l'ONU.",C1
"Il a, en revanche, regretté que l'engagement pris par le Premier ministre, lors du débat constitutionnel, sur les modes de scrutin n'ait pas été respecté.",C1
Simultanément des forestiers se convertissent à l'aménagement afin de procéder à une exploitation sylvicole rationnelle.,C1
"Quand elle fut arrivée au cimetière, elle s'agenouilla pour prier",C2
Mon frère Patrice est plus jeune que moi.,A1
"En effet, le travail étant un des facteurs principaux qui permet à l'Homme d'améliorer son existence la perfectibilité le développe",C2
Les maths font-elles peur aux femmes ?,A2
"Quelle activité, sinon l'hébergement touristique, permet de conjuguer toutes ces motivations ?",C2
"Notamment, ils valorisent davantage la tolérance, l'ouverture aux autres, le métissage culturel, la solidarité et l'indépendance d'esprit.",C1
J'ai vraiment dû beaucoup insister pour être choisi !,B1
Tu vas à l'université ?,A1
"Secourir : ce verbe est synonyme d'aider une personne qui est en danger, porter secours à quelqu'un.",B1
"Je voulais faire de la musique pour essayer avec mes potes et en voyant que ça a pris, je m'y suis mis sérieusement",B1
La bibliothèque était déjà fermée quand j'y suis allé hier après-midi.,A2
"Lucides, les adolescents mettent au point leur conduite, en cherchant à ne pas reproduire ce qui leur paraît négatif du comportement des autres - mais il leur arrive de se laisser déborder par l'émotion lorsque leur mobile sonne durant un cours.",C2
"Une fois, s'étant penché sur une source, il se vit décharné, haché par les cicatrices, les lèvres gercées , tout misérable enfin.",C2
Nous avons indiqué que sa femme était venue la semaine dernière et qu'elle nous avait dit beaucoup de bien du film.,B1
"Le vieux rêve encyclopédique resurgit cependant dans les Expositions contemporaines avec ce qu'on pourrait nommer la clôture de l'utopie, par quoi la planète se résume en un panorama et tout l'ordre du monde se ramène à la taille d'un parc d'attractions qu'un seul regard peut embrasser, sans restes ni recoins.",C2
"Et se précipitant sur un livre de messe relié en velours violet, monté d'or, et d'où, dans sa hâte, elle laissait s'échapper de ces images, bordées d'un bandeau de dentelle de papier jaunissante, qui marquent les pages des fêtes, ma tante, tout en avalant ses gouttes commençait à lire au plus vite les textes sacrés dont l'intelligence lui était légèrement obscurcie par l'incertitude de savoir si, prise aussi longtemps après l'eau de Vichy, la pepsine serait encore capable de la rattraper et de la faire descendre.",C2
"Cela remonte à il y a bien longtemps. C'était l'hiver, la veille du jour de Noël.",A2
N'oublie pas de venir avec des chaussures de sport.,A1
"J'y vais le lundi, le mardi et le mercredi",A1
Tu peux me prêter ton stylos s'il-te-plaît ?,A1
Il est danois.,A1
J'ai peur qu'il soit parti sans laisser d'adresse,A2
Les enfants se sont racontés des histoires avant de s'endormir.,A2
"En quittant chaque étape, mes enfants dessinaient le lieu ou une personne qu'ils y avaient rencontrée.",C2
il appelle un docteur !,A1
"L' ""acte gratuit"" est donc une notion philosophiquement problématique : la volonté de prouver sa liberté par un acte supposé sans mobile constitue, par elle-même, un mobile",C2
"Autrement dit, avoir une ""vraie"" vie sociale satisfaisante conduirait à passer moins de temps sur les réseaux sociaux.",B2
Elles regrettèrent leur geste après qu'elles furent descendues du train.,C2
"Le soir du 25 août 1830, le théâtre de la Monnaie, à Bruxelles, donne une représentation de l'opéra La Muette de Portici, dont le sujet se trouve être un soulèvement des Napolitains contre leur oppresseur",C1
"En effet, il n'est pas normal qu'un enfant ou un ado de moins de treize ans erre en pleine nuit dans les rues.",A2
"Le handicap, lorsqu'il est visible, est encore trop souvent associé à l'incompétence.",B2
C'est très difficile.,A1
Ils sont bien décidés à vivre à fond leur deuxième âge adulte.,B2
"En fin de compte, la Révolution a conduit au remplacement de la monarchie absolue par une monarchie constitutionnelle, qui, à son tour, sera remplacée par la Première République",C1
"Cette fois, les femmes et les enfants marchent au milieu du groupe.",A1
La police a ordonné de ne pas poser de questions personnelles.,B1
"Au moment de payer, notre petit garçon est toujours volontaire",A2
"Ultime sophistication, les auteurs et réalisateurs de la série mettent un point d'honneur à toujours, ou presque, trouver un point de raccord entre les scènes même quand dix ou quinze ans les séparent.",C1
Je suis bien contente que tu aies apprécié cette histoire.,A2
"Certains responsables craignent que le protocole ne handicape la croissance économique, tandis que d'autres mettent en avant les profits que rapporterait la vente de permis de polluer.",C1
Le canal a été construit il y a seulement quatre-vingts six ans.,B2
"Salut, qu'est-ce que tu fais là ?",A1
"Et les mèches de ses cheveux roux crespelés par la nature, mais collés par la brillantine, étaient largement traitées comme elles sont dans la sculpture grecque qu'étudiait sans cesse le peintre de Mantoue, et qui, si dans la création elle ne figure que l'homme, sait du moins tirer de ses simples formes des richesses si variées et comme empruntées à toute la nature vivante, qu'une chevelure, par l'enroulement lisse et les becs aigus de ses boucles, ou dans la superposition du triple et fleurissant diadème de ses tresses, a l'air à la fois d'un paquet d'algues, d'une nichée de colombes, d'un bandeau de jacinthes et d'une torsade de serpents.",C2
Il vient à la cérémonie ce soir,A1
Comment le Berger arrive-t-il à sortir de la grotte ?,A2
Il me reste une place.,A1
"Bref, pour le corps enseignant, les filles réussissent grâce à leurs talents de ""bûcheuses"", tandis que les garçons échouent par paresse plutôt que par manque de dons.",B2
Vivre à la campagne a beaucoup d'avantages,B1
Notre mode de pensée mutilé conduit à des actions mutilantes.,C2
"Tout d'abord, en externalisant la chaîne de production, nous diminuerons les coûts d'investissement pour la production et les frais de stockage des produits.",B2
Nous vous souhaitons un bon voyage.,A2
"Et Kant ajoute pour préciser : ""(.) si la loi morale n'était pas d'abord clairement conçue dans notre raison, nous ne nous croirions jamais autorisés à admettre une chose telle que la liberté (.)",C2
"Il y a 100 ans, cette pièce de monnaie valait peu d'argent.",B1
"Il me pose quelques questions sur ma vie, j'ai peur de ne dire que des sottises et je réponds à peine.",B1
L'ultracrépidarianisme constitue dans certains cas un exemple d'utilisation d'un argument d'autorité.,C2
Notre étude se concentre sur l'impact d'une couverture maladie universelle sur le taux de mortalité dans les pays développés.,C1
"En général, c'est à ce moment-là que je me rends compte que je suis en retard",A2
"Est également stigmatisée la nature des échanges à l'occasion de courses au supermarché, par exemple, pour questionner sur la marque de yaourts .",C2
Je reçois par exemple des couples franco-espagnols qui n'ont qu'une envie : que leur enfant apprenne l'anglais.,A2
Je te donne ma réponse demain,A1
Pouvez-vous m'aidez ?,A1
"Son oncle la toisait avec une expression de fureur contenue, et elle n'osait pas croiser son regard.",C1
"Il signifie ""avoir le courage de faire quelque chose"".",A2
J'ai un garage pour ma voiture et pour mon vélo,A2
"Ce n'est pas l'idéal, mais on n'a pas le choix",A2
"Au protectionnisme culturel, ensuite",C2
Elle a la même silhouette élancée que les grands mannequins.,B2
"Après dîner, Arthur me donnait souvent une petite friandise avant de ressortir, et je m'assoupissais tranquillement dans mon panier",C2
"Elle se dressait à la lisière des champs et des pâturages , haute et sombre comme une citadelle , si vaste qu'elle barrait tout un pan de l'horizon.",C1
"Si vous aviez cherché ces actes convenablement, vous les auriez trouvés du premier coup.",C1
"L'entreprise développe par ailleurs des projets d'exploration spatiale vers la Lune et Mars, et le programme Starlink d'accès à haut débit à Internet par satellites sur Terre.",C1
"Duroy s'assit sur un canapé très bas, rouge comme les tentures des murs, et dont les ressorts fatigués, s'enfonçant sous lui, lui donnèrent la sensation de tomber dans un trou",C2
"Si nous devenions tous uniformément monolingues, notre cerveau en serait affecté, au point de perdre une partie de notre créativité linguistique innée.",C2
Il sera nécessaire de faire un effort de pédagogie pour faire adopter ces nouvelles technologies qui se banaliseront.,B2
"D'autres éditeurs exploitent le créneau, et Internet regorge de sites intéressants qui permettent une approche moins scolaire, certes, mais tellement plus amusante, des mathématiques",C2
Je n'en ai aucune idée.,A2
"Beaucoup de félins avaient des bijoux autour du cou, en métal ou avec des perles de verre et de coquillages.",B2
La diversité des langues a été alors perçue comme une entrave aux échanges et à la diffusion du savoir.,C1
"Et aujourd'hui, je suis artiste.",A1
"Pour expliquer ces différences, il est nécessaire d'utiliser le concept social du genre (Doyal, 2003), qui permet de comprendre par exemple comment les normes sociales ont favorisé l'adoption du tabagisme par les hommes d'abord, puis plus tardivement par les femmes.",C2
Ce sera l'étude la plus complète sur les changements climatiques régionaux.,B2
Le travail de doctorat porte sur le développement de méthodes génériques afin d'extraire des événements nouveaux et pertinents dans des données textuelles hétérogènes.,C2
"Dans 97 % des collèges, l'utilisation du portable est interdite.",B2
"Loin du gouvernement, il parvient à incarner une alternative de droite au gaullisme",C2
La cuisine est la pièce préférée de ma maison.,A2
"Selon un sondage publié en mai de BVA et du Syntec Numérique, une fédération professionnelle du secteur informatique favorable à la mesure, 87% des Français seraient même d'accord pour que la programmation informatique soient enseignée à l'école (24% à partir du primaire, 41 % à partir du collège).",C2
"Engagé à 16 ans dans la Résistance, député puis sénateur, il avait réussi, dans la France très conservatrice d'avant 1968 à faire adopter en 1967, contre la majorité de son camp politique, la loi autorisant la contraception",C1
"Nous les jeunes aujourd'hui on veut être plus écoutés ; on veut que l'école nous prépare à trouver du boulot, enfin du travail, quoi.",A2
"Bonsoir, madame, en quoi puis-je vous aider ?",A1
Fabrice montra son passeport qui le qualifiait marchand de baromètres portant sa marchandise.,C1
"Près de 100 squelettes complets d'animaux ont été découverts jusqu'ici dans une zone relativement petite de 100 m², à l'ouest du Grand Temple.",C1
Je suis blanc ou noir,A1
"Aussitôt qu'elle eut perdu son chien, elle le chercha désespérément",C2
C'est une fête chrétienne qui célèbre la naissance de Jésus.,A2
"Finalement, que réalise le berger une fois qu'il a repris ses esprits ?",B1
La disparition des langues devrait nous préoccuper au même titre que celle des espèces animales ou végétales.,C1
"De ce poste élevé elle participait avec entrain à la conversation des fidèles et s'égayait de leurs ""fumisteries"", mais depuis l'accident qui était arrivé à sa mâchoire, elle avait renoncé à prendre la peine de pouffer effectivement et se livrait à la place à une mimique conventionnelle qui signifiait sans fatigue ni risques pour elle, qu'elle riait aux larmes.",C2
"À mon avis, il faut s'entraîner et se préparer aussi bien que possible pour les épreuves de toutes sortes.",B1
Combien le voyageur doit-il payer pour dormir chez le pêcheur ?,B1
"Hier soir, j'ai travaillé jusqu'à minuit.",A2
"On pouvait nous entendre, j'adressai à Ellénore des questions indifférentes.",C2
"L'ex-président de la République, Win Myint, déjà inculpé pour ne pas avoir respecté des restrictions liées au coronavirus, est désormais accusé d'avoir enfreint la Constitution, a indiqué à l'AFP l'avocat Khin Maung Zaw.",C1
C'était avec ravissement que la comtesse retrouvait les souvenirs de sa première jeunesse et les comparait à ses sensations actuelles.,C1
"Un résultat largement inférieur à celui des déchets ménagers, qui forment la grande majorité des quelque 2 millions de tonnes de déchets électroniques produits chaque année en France, selon l'Agence de l'environnement et de la maîtrise d'énergie (Ademe).",B2
"A 50 ans, on est vieux pour l'entreprise, tranche la chasseuse de têtes Catherine Euvrard, sexa survitaminée.",C1
"Oui, avec ce grand soleil, je commence à réfléchir à des projets de vacances.",B1
Vous vous levez à quelle heure ?,A1
J'ai ouvert la porte et le chien a couru comme une flèche à l'extérieur.,A2
"L'Esprit de l'hiver, qui avait déclenché cette tempête, avait décidé de les lui laisser.",B1
Il y a des régions où les enfants ne vont pas à l'école le mercredi,A2
"Ou s'obstiner à garder les rênes de leurs entreprises, à occuper les postes d'administrateurs et les sièges électifs ?",C1
Le développement des technologies a permis une augmentation importante de la productivité et a soulagé les hommes de nombreuses tâches ingrates ; pourtant le travail occupe encore une très large place dans nos existences.,C1
"Oui, mais qui fait cela ?",A1
Ma soeur habite également dans la même ville que nous.,A1
"La première conséquence du vieillissement est un ralentissement de la croissance économique, par manque de main-d'oeuvre, déficit d'investissement, et surcroît de dépenses sociales.",C1
"Ce n'était ni un bateau, ni un avion, mais un moyen de transports terrestre.",B1
"Malgré la supériorité scolaire des filles, les enseignants eux-mêmes reproduisent les clichés sexistes, en favorisant inconsciemment les garçons.",C1
"Rappelant que les propos du Premier ministre tenus lors du Congrès sur la révision constitutionnelle relative à la parité portaient sur les modes de scrutin de manière générale, tout en insistant particulièrement sur les élections législatives, M. Guy Cabanel, rapporteur pour le Sénat, a regretté que le texte adopté par l'Assemblée nationale ne démente ces propos en procédant à une manipulation du mode de scrutin municipal.",C2
"Cette lignée est ensuite diploïdée au moyen d'un traitement chimique, pour la rendre fertile.",C1
"Je ne demandais alors qu'à me livrer à ces impressions primitives et fougueuses qui jettent l'âme hors de la sphère commune, et lui inspirent le dédain de tous les objets qui l'environnent.",C2
"Pour autant, cette révolution attendue ne signera pas la mort du livre papier.",B2
Je ne vois pas ce qu'il y a d'incompatible à enseigner des valeurs et en même temps de nouvelles techniques.,C2
"Cela ressemble à de la science-fiction, mais pourtant, la claytronique, comme on l'appelle, devrait être plus facile à réaliser que la fabrication moléculaire nanotechnologique, car se situant malgré tout bien au-dessus du niveau nanométrique.",C2
"Seulement voilà : depuis trois ans, le proviseur se fait plus discret",B2
Son bureau est entre la bibliothèque et la salle de dessin.,A1
"Ce phénomène, source de stress, est répandu puisque la moitié des personnes étudiées perçoivent des signaux fantômes au moins une fois par semaine.",B2
On ne s'attaque pas impunément à un repère culturel et temporel aussi fort que le septième jour.,C2
"Dans une récente synthèse des recherches menées sur les grands usagers des smartphones et des réseaux sociaux, les chercheurs ont mis en évidence une plus grande probabilité de souffrir de certains problèmes psychologiques : anxiété, dépression et addiction.",C1
"Les tribus indiennes découvrent le massacre quand, amer détour de l'histoire, les autorités du Montana leur proposent d'en profiter pour s'approvisionner en viande.",C1
"Deux paysans en tête et deux en queue portaient comme une forme humaine, et le caqueux marchait derrière, et battait le fusil pour allumer sa pipe.",C1
"Tétais embarrassé, humilié, de rencontrer une femme qui m'avait traité comme un enfant.",C2
"Candide s'enfuit au plus vite dans un autre village : il appartenait à des Bulgares, et des héros abares l'avaient traité de même.",B2
"Tourné en 3D par le réalisateur LWitley, ce nouvel épisode intergalactique, foisonnant, donne vite la migraine",C1
"Mais dans leur vie quotidienne, comme à l'école ou avec leurs copains, c'est clair, c'est le français qui l'emporte.",A2
"Ce n'est qu'en Irlande, là où vit ma famille, et au bout de quelques semaines, qu'il fait des phrases en anglais.",A2
"La semaine, je me lève à six heures du matin et mon mari à huit heures.",A1
Le jour ressemblait à la nuit.,A2
"On a envie de savoir, de comprendre et de se détendre.",A2
La tour Eiffel est située sur le Champ-de-Mars. C'est un parc où les gens viennent se promener en famille et entre amis.,B1
"J'avais obtenu, par un travail assez opiniâtre, au milieu d'une vie très dissipée, des succès qui m'avaient distingué de mes compagnons d'étude, et qui avaient fait concevoir à mon père sur moi des espérances probablement fort exagérées.",C2
Il pleurait à chaque fois.,A2
"Comme Schleiermacher, Hegel a senti assez vite qu'il y a dans la nature humaine un besoin de connaissances divines1 auquel se lient d'ailleurs des exigences morales; la religion ne tombe pas du ciel sur n'importe quel astre",C2
"Il est maintenant un symbole de fête, autour duquel les gens se réunissent pour célébrer Noël !",B1
La pudeur vous défend de voir ma lame nue ?,C1
"Pourtant, en 2006, le choc démographique sera rude.",C1
"Enfin, on trouve aussi le blanc, comme la neige, et le noir, comme la nuit.",A1
"Il trouve qu'il fait trop chaud, alors il s'est ennuyé",A2
"Le premier numéro d'Epic, c'est son nom, vient de sortir : entre le livre d'art et le magazine, la revue se propose de raconter le monde en photos et en récits",B1
"Un siècle auparavant, l'Empire mongol, en transformant un temps la route de la soie en une immense construction politique, avait fait exploser les échanges de la Méditerranée au Japon en passant par l'Insulinde, pour le meilleur (papier, imprimerie.) ou pour le pire (peste noire, poudre à canon.).",C1
"Ces plus de 55 ans, qui furent les petits Français babillants du babyboom de l'après-guerre, représentent aujourd'hui 16 millions de nos compatriotes, soit 20 % de la population !",C1
"Ainsi, dans l'espace de socialisation temporaire que représente le centre de formation, nous voyons apparaître des formes de convergence linguistique qui identifient des statuts et des positionnements, ainsi que des déplacements discursifs vers d'autres modes de convergence.",C2
"Ce constat est simple : la collecte des informations étant désormais, en grande partie, confiée aux ordinateurs, pourquoi demander aux élèves de mémoriser par coeur des données que l'on peut relativement facilement retrouver sur l'internet ?",C2
Elle est plus âgée que moi.,A1
"On va effectuer de petites pressions sur votre dos, avec les pouces.",B1
"Ce soir, nous mangeons du poisson et des pommes de terre au dîner",A1
Et quel aspect hétéroclite que le sien !,C2
"C'était en automne, au temps où les serpents vont dormir dans la terre, et le berger en entendant un petit bruit, leva la tête pour voir quelle en était la cause.",B1
"Pourtant, évoquer cette histoire reste très douloureux pour moi",B1
Qu'est-ce que ça veut dire ?,A1
"Dans l'avion qui le ramenait d'Irak, lundi matin 8 mars, le pape François a commenté sa visite intense et pleine de gestes et de rencontres symboliques de trois jours au cours d'une conférence de presse.",C1
"C'est dommage parce que des fois, j'aimerais bien lui poser des questions et lui demander des conseils.",B1
"Non, ne mange pas votre goûté dans la classe !",A1
Mes voisins auraient recueilli un beau petit chat abandonné.,B2
"Nous avons beaucoup de chance de pouvoir manger des légumes frais du jardin tous les jours : salade, tomates, carottes, chou, radis, pommes de terre, .",B1
"Les vers du vieux Baro valant moins que zéro, j'interromps sans remords !",C2
La comtesse pleurait de joie et d'angoisse.,B2
"Brigitte Munier Il appartient à l'homme de ne point se laisser intimider ou séduire par la puissance des robots au point de perdre le sens de la spécificité des compétences purement humaines : l'illogisme apparent propre à l'émotivité, à la sensibilité et à l'imagination symbolique rend ces facultés inimitables par des machines, même programmées pour simuler l'empathie.",C2
La dernière enquête sur les valeurs des Français dessine un pays soucieux de liberté dans la sphère privée et d'égalité dans le domaine social.,C1
Tanguy ne veut pas aller à la mer le mois prochain,A2
"Enfin, Pâques n'a pas de date fixe, c'est un dimanche compris entre le 22 mars et le 25 avril.",A2
"Le chef de la majorité au Sénat Chuck Schumer a affirmé mardi compter sur ""suffisamment"" de voix (51) pour approuver ce projet de loi d'ici la fin de semaine.",C1
L'alimentation jouerait donc un rôle dans l'apparition des troubles mentaux.,C1
"Faute d'y avoir réfléchi, car la recherche sur les conséquences sociales du vieillissement reste limitée.",C1
"Ces bactéries, avec lesquelles nous vivons en symbiose, sont nos amies : nous leur apportons à manger ; en contrepartie, elles s'occupent de prédigérer les aliments pour nous les rendre assimilables.",C1
Jules fait beaucoup de bruit derrière la porte.,A1
Ça fait un moment que je n'ai pas appelé mes parents pour prendre de leurs nouvelles.,A2
"Afin de préserver le fondant de ces croissants, refermer le sachet soigneusement après ouverture",C1
"Demain, on prévoit de faire une promenade dans le quartier de la Petite France, il paraît que c'est le plus beau de Strasbourg",B1
Il ne vient pas à la fête ce soir,A1
"Le corps humain comprend une tête, un tronc et quatre membres",B1
"D'un côté, elle génère de nouveaux besoins alimentant toujours plus le narcissisme, auxquels adolescents et jeunes adultes sont si sensibles (comme le besoin de popularité) et, de l'autre côté, elle provoque nombre de frustrations.",C1
"Les entreprises qui en vendent ont été littéralement dévalisées, avec notamment explosion des commandes par téléphone, et en ligne.",B2
"Et on les enferma dans une petite boîte en bois, découverte, tapissée de rouge, et qui contenait quatre chaises de même couleur, si rapprochées qu'on pouvait à peine se glisser entre elles.",C2
Savez-vous pourquoi ?,A1
C'est une très bonne adresse pour les amateurs de viande et de charcuterie.,B1
Quoi !,A1
C'est facile !,A1
"Comme son nom l'indique, le fromage AOP a une appellation d'origine protégée.",B2
"Mais un des cuisiniers, six laquais et un cocher avec deux chevaux, partaient pour Côme la veille du voyage, et chaque jour, à Milan, la marquise trouvait une voiture à ses ordres, et un dîner de douze couverts.",C1
"Par exemple, une connexion permanente offre aux personnes s'ennuyant dans la vie, stimulations et divertissements, mais uniquement à très court terme.",B2
On doit écouter le professeur et étudier,A1
Il a les cheveux raides.,A1
Je l'ai revu depuis noyé de carburant,B1
Ce sont les propos que Benoît Hamon a tenus au JDD mi-juillet.,B2
"Une étude récente montre cependant que les cyclistes sont d'abord demandeurs de plus de sécurité et de stationnements vélo, aux abords des gares en particulier.",B2
La multiplication des nouvelles technologies va-t-elle nous faire perdre la tête?,B2
Aussitôt que le registre du commerce aura reçu le dossier de modification.,B2
Je crois que le contrat va être signé et que nous pourrons commencer à travailler avec lui très vite,B1
"La flatterie n'émane jamais des grandes âmes, elle est l'apanage des petits esprits qui réussissent à se rapetisser encore pour mieux entrer dans la sphère vitale de la personne autour de laquelle ils gravitent.",C2
